COD_MESE,CD_CLUSTER,DES_TIPO_GIORNO,NUM_S_RICERCHE,NUM_S_RICERCHE_NOREG,NUM_S_RICERCHE_AREA1,NUM_S_RICERCHE_AREA2,NUM_S_RICERCHE_AREA3,NUM_S_RICERCHE_AREA4,NUM_S_RICERCHE_VATICANO,NUM_S_RICERCHE_ROMA,NUM_S_RICERCHE_MILANO,NUM_S_RICERCHE_NAPOLI,NUM_S_RICERCHE_TORINO,NUM_S_RICERCHE_LAVORATIVA,NUM_S_RICERCHE_NON_LAVORATIVA,NUM_S_SESSIONI_UNICHE
201310,legnolavoro,Festivo,5741,708,1751,1370,1003,909,0,164,46,27,101,4049,1692,3488
201310,ospedaliera,Festivo,25148,1860,5722,3581,5187,8798,0,744,614,622,341,17831,7317,16491
201310,pelletteria,Festivo,27970,2367,8514,5955,6684,4450,0,1251,998,302,938,20704,7266,17386
201310,riciclaggio,Festivo,8305,642,2365,1678,1779,1841,0,145,139,45,60,5890,2415,5091
201310,scuolehobby,Festivo,9301,1159,2342,1519,2202,2079,0,371,180,175,311,6390,2911,5663
201310,specialisti,Festivo,12940,1044,3375,2015,2285,4221,0,320,166,262,261,8790,4150,7798
201310,alimentibase,Festivo,34498,3651,8929,6852,6291,8775,0,733,458,446,607,25023,9475,20825
201310,distributori,Festivo,4712,629,1507,816,873,887,0,121,149,39,81,3311,1401,2998
201310,fisioterapia,Festivo,11127,656,3359,1980,2414,2718,0,459,211,267,267,7708,3419,6516
201310,giardinaggio,Festivo,26373,4278,7010,5179,4781,5125,0,591,424,158,378,20408,5965,16269
201310,importexport,Festivo,180,16,47,34,28,55,0,7,3,0,4,134,46,110
201310,legnoenergia,Festivo,20518,1042,8028,6586,3098,1764,0,173,175,24,215,14837,5681,11282
201310,oggettistica,Festivo,40589,2654,11919,8191,8567,9257,1,2258,1736,718,1307,29429,11160,26018
201310,radiotecnica,Festivo,9123,1033,3240,1571,1843,1436,0,552,809,197,198,6737,2386,6181
201310,supermercati,Festivo,35422,7311,9645,6240,6241,5985,0,1470,911,271,727,28196,7226,24016
201310,verniciatura,Festivo,3206,365,1254,803,494,290,0,65,61,9,25,2052,1154,2085
201310,abbigliamento,Festivo,48443,6633,15143,9657,8832,8178,0,1486,2871,581,1176,35868,12575,31549
201310,assicurazioni,Festivo,9914,657,2960,2007,1827,2463,0,363,465,137,204,7127,2787,6536
201310,collezionismo,Festivo,39120,28433,4215,2512,2265,1695,0,418,475,172,549,30434,8686,28575
201310,industriabase,Festivo,32965,6300,9773,6497,5044,5351,0,849,959,417,547,22710,10255,21724
201310,magazzinaggio,Festivo,307,43,105,62,43,54,0,2,5,3,2,206,101,224
201310,riscaldamento,Festivo,11076,785,4180,2155,1948,2008,0,321,231,136,299,7719,3357,7046
201310,sportmontagna,Festivo,1986,90,739,493,379,285,0,97,23,8,13,1293,693,1290
201310,autoassistenza,Festivo,38357,2252,13114,8788,8032,6171,0,1411,750,318,916,28137,10220,23661
201310,legnoartigiani,Festivo,5771,341,1842,1424,1285,879,0,180,162,55,101,4168,1603,3444
201310,movimentoterra,Festivo,10594,1340,2509,2809,1835,2101,0,74,34,16,46,7199,3395,6469
201310,rappresentanti,Festivo,2710,483,627,493,519,588,0,41,55,53,37,1914,796,1986
201310,trasportomassa,Festivo,4763,208,1277,910,979,1389,0,123,83,108,27,3610,1153,3350
201310,autoindustriali,Festivo,4648,2591,595,516,371,575,0,18,13,7,22,3390,1258,3525
201310,chimicaimpianti,Festivo,4603,580,1796,696,750,781,0,41,129,25,32,3236,1367,2833
201310,condizionamento,Festivo,1612,163,527,342,292,288,0,48,27,11,21,1075,537,1014
201310,energiaimpianti,Festivo,4089,377,1291,761,744,916,0,159,276,68,63,2904,1185,2759
201310,elettrodomestici,Festivo,29708,3116,9899,5210,6133,5350,0,1993,820,393,736,22810,6898,18586
201310,ediliziamateriali,Festivo,17165,1347,4910,3752,3395,3761,0,425,178,103,232,12327,4838,10059
201310,impiantielettrici,Festivo,2950,346,1076,660,440,428,0,45,42,20,76,2031,919,2188
201310,meccanicaofficina,Festivo,6932,590,2858,1753,1030,701,0,85,130,35,62,4614,2318,3862
201310,arredamentoesterni,Festivo,2890,357,800,627,547,559,0,57,22,31,37,2108,782,2036
201310,ediliziamacchinari,Festivo,3487,289,987,792,646,773,0,73,32,26,37,2471,1016,2244
201310,impiantindustriali,Festivo,427,49,176,120,53,29,0,9,9,2,2,230,197,350
201310,abbigliamentoproduci,Festivo,9012,1657,2621,1805,1841,1088,0,322,340,63,189,6260,2752,5804
201310,abbigliamentoinfanzia,Festivo,8465,635,2541,1693,1626,1970,0,291,241,76,335,6615,1850,5386
201310,abbigliamentospeciale,Festivo,11931,1081,3855,2050,2238,2707,0,764,877,227,466,8355,3576,7412
201310,pub,Lavorativo,268444,30101,70329,47777,53033,67195,9,7704,5144,3631,4453,222252,46192,149563
201310,arte,Lavorativo,10342,3643,2393,1481,1676,1148,1,374,362,80,389,8796,1546,7854
201310,auto,Lavorativo,265224,20046,77934,53013,51512,62718,1,8906,6586,2517,4860,224937,40287,148582
201310,coop,Lavorativo,109123,10158,29765,22604,23618,22977,1,4848,2288,1261,1740,94948,14175,73399
201310,foto,Lavorativo,116205,10324,33580,24241,23106,24954,0,4808,4768,1416,3573,98765,17440,73076
201310,luce,Lavorativo,30816,3497,8853,6944,6300,5222,0,1374,880,274,930,25185,5631,18873
201310,moto,Lavorativo,81154,11895,22867,16369,17011,13012,0,4472,2523,1012,1653,66125,15029,51682
201310,tubi,Lavorativo,11187,1900,4772,2065,1266,1184,0,58,206,31,96,9641,1546,7680
201310,vini,Lavorativo,152830,17488,34421,31753,31389,37778,1,1676,1291,602,1152,129821,23009,89127
